iter	Passed	Remaining
0	49	49151
1	49	24668
2	49	16516
3	49	12438
4	50	9984
5	50	8344
6	50	7177
7	50	6304
8	51	5621
9	51	5075
10	51	4628
11	51	4257
12	51	3944
13	52	3675
14	52	3442
15	52	3237
16	52	3057
17	53	2896
18	53	2751
19	53	2621
20	53	2502
21	53	2394
22	53	2292
23	54	2202
24	55	2152
25	55	2074
26	55	2002
27	55	1933
28	55	1871
29	56	1813
30	56	1758
31	56	1706
32	56	1658
33	56	1613
34	56	1571
35	57	1530
36	57	1492
37	57	1456
38	57	1422
39	57	1389
40	58	1358
41	58	1328
42	58	1298
43	58	1271
44	58	1245
45	58	1219
46	58	1195
47	59	1173
48	59	1151
49	59	1130
50	59	1110
51	59	1089
52	59	1070
53	60	1052
54	60	1035
55	60	1018
56	60	1003
57	60	987
58	61	972
59	61	958
60	61	944
61	61	931
62	61	917
63	61	905
64	62	892
65	62	881
66	62	869
67	62	858
68	62	847
69	62	836
70	63	826
71	63	816
72	63	806
73	63	797
74	63	787
75	64	779
76	64	770
77	64	761
78	64	753
79	64	745
80	64	737
81	65	729
82	65	721
83	65	714
84	65	707
85	65	700
86	66	693
87	66	686
88	66	680
89	66	673
90	66	667
91	66	661
92	67	654
93	67	648
94	67	643
95	67	637
96	67	630
97	67	625
98	68	619
99	68	614
100	68	608
101	68	603
102	68	598
103	68	594
104	69	589
105	69	584
106	69	580
107	69	575
108	69	571
109	70	566
110	70	562
111	70	558
112	70	553
113	70	549
114	70	545
115	71	541
116	71	537
117	71	533
118	71	529
119	71	526
120	71	522
121	71	517
122	72	514
123	72	510
124	72	507
125	72	504
126	72	500
127	72	497
128	73	494
129	73	491
130	73	487
131	73	484
132	73	481
133	74	478
134	74	475
135	74	473
136	74	470
137	74	467
138	74	464
139	75	461
140	75	458
141	75	455
142	75	453
143	75	450
144	75	448
145	76	445
146	76	443
147	76	440
148	76	438
149	76	435
150	77	433
151	77	430
152	77	428
153	77	426
154	77	424
155	77	421
156	78	419
157	78	417
158	78	415
159	78	413
160	78	411
161	79	408
162	79	406
163	79	404
164	79	402
165	79	400
166	79	398
167	80	396
168	80	394
169	80	392
170	80	390
171	80	388
172	80	386
173	81	385
174	81	383
175	81	381
176	81	379
177	81	378
178	82	376
179	82	374
180	82	372
181	82	371
182	82	369
183	82	367
184	83	366
185	83	364
186	83	363
187	83	361
188	83	359
189	84	358
190	84	356
191	84	355
192	84	353
193	84	352
194	84	350
195	85	349
196	85	347
197	85	346
198	85	344
199	85	343
200	85	341
201	86	340
202	86	338
203	86	337
204	86	336
205	86	334
206	87	333
207	87	332
208	87	330
209	87	329
210	87	328
211	87	327
212	88	325
213	88	324
214	88	323
215	88	321
216	88	320
217	89	319
218	89	318
219	89	316
220	89	315
221	89	314
222	89	313
223	90	312
224	90	310
225	90	309
226	90	308
227	90	307
228	90	306
229	91	305
230	91	304
231	91	302
232	91	301
233	91	300
234	92	299
235	92	298
236	92	297
