iter	Passed	Remaining
0	47	47736
1	48	24094
2	48	16183
3	49	12226
4	49	9854
5	49	8269
6	50	7141
7	50	6292
8	51	5631
9	51	5103
10	51	4670
11	52	4310
12	52	4012
13	53	3770
14	53	3541
15	54	3336
16	54	3155
17	54	2994
18	55	2850
19	56	2744
20	56	2645
21	57	2559
22	67	2853
23	67	2752
24	69	2714
25	70	2622
26	70	2538
27	73	2558
28	74	2482
29	74	2407
30	74	2337
31	75	2274
32	75	2213
33	75	2158
34	76	2106
35	76	2060
36	77	2017
37	78	1975
38	78	1933
39	80	1934
40	81	1910
41	82	1887
42	83	1856
43	84	1830
44	84	1795
45	84	1761
46	85	1728
47	85	1697
48	86	1669
49	86	1640
50	86	1612
51	86	1585
52	87	1559
53	87	1535
54	87	1510
55	88	1489
56	88	1466
57	89	1448
58	89	1430
59	90	1413
60	90	1398
61	91	1382
62	91	1367
63	92	1353
64	93	1339
65	93	1325
66	94	1311
67	94	1298
68	95	1286
69	96	1276
70	96	1263
71	97	1251
72	97	1240
73	98	1228
74	98	1217
75	99	1209
76	100	1202
77	101	1199
78	102	1192
79	102	1182
80	103	1172
81	120	1351
82	121	1337
83	122	1334
84	123	1324
85	124	1324
86	125	1315
87	126	1308
88	127	1302
89	128	1298
90	129	1292
91	130	1285
92	138	1354
93	139	1343
94	139	1331
95	140	1319
96	140	1309
97	140	1297
98	141	1288
99	141	1277
100	142	1267
101	142	1257
102	143	1247
103	143	1238
104	144	1229
105	144	1218
106	144	1208
107	145	1199
108	145	1189
109	145	1179
110	146	1170
111	146	1160
112	146	1151
113	146	1142
114	147	1133
115	147	1124
116	147	1115
117	148	1106
118	148	1097
119	148	1089
120	148	1081
121	149	1073
122	149	1065
123	149	1057
124	150	1050
125	151	1048
126	151	1040
127	151	1032
128	151	1025
129	152	1018
130	152	1012
131	152	1005
132	153	998
133	153	991
134	153	985
135	154	978
136	154	972
137	154	965
138	154	959
139	155	953
140	155	947
141	155	940
142	156	938
143	156	932
144	157	926
145	157	920
146	157	915
147	158	909
148	158	904
149	158	899
150	158	893
151	159	888
152	159	883
153	159	877
154	160	872
155	160	867
156	160	862
157	160	857
158	161	852
159	161	847
160	161	842
161	161	837
162	162	833
163	162	828
164	163	826
165	163	822
166	163	817
167	164	812
168	164	808
169	164	804
170	165	800
171	165	796
172	165	791
173	166	788
174	166	784
175	166	780
176	166	775
177	167	771
178	167	768
179	167	764
180	168	760
181	168	756
182	168	752
183	168	749
184	169	745
185	169	741
186	169	738
187	170	734
188	170	731
189	170	727
190	171	724
191	171	721
192	171	717
193	171	714
194	172	710
195	172	707
196	172	704
197	173	700
198	173	697
199	173	694
200	173	691
201	174	688
202	174	685
203	174	682
204	175	679
205	175	676
206	175	673
207	176	670
208	176	667
209	176	664
210	176	661
211	177	658
212	177	656
213	177	653
214	178	650
215	178	647
216	178	644
217	178	641
218	179	639
219	179	636
220	179	633
221	180	630
222	180	628
223	180	625
224	180	622
225	181	620
226	181	617
227	181	615
228	182	612
229	182	610
230	182	607
231	182	605
232	183	603
233	183	600
234	183	598
235	184	595
236	184	593
237	184	590
238	184	588
239	185	586
240	185	583
241	185	581
242	185	579
243	186	576
244	186	574
245	186	572
246	187	570
247	187	567
248	187	565
249	187	563
250	188	561
251	188	559
252	188	557
253	188	554
254	189	552
255	189	550
256	189	548
257	190	546
258	190	544
259	190	542
260	191	541
261	191	539
262	191	537
263	191	535
264	192	533
265	192	531
266	192	529
267	193	527
268	193	525
269	193	523
270	193	521
271	194	519
272	194	517
273	194	515
274	194	513
275	195	512
276	195	510
277	195	508
278	196	506
279	196	505
280	196	503
281	196	501
282	197	499
283	197	497
284	197	496
285	198	494
286	198	492
287	198	491
288	198	489
289	199	487
290	199	486
291	199	484
292	200	482
293	200	481
294	200	479
295	200	477
296	201	476
297	201	474
298	201	472
299	202	471
300	202	469
301	202	468
302	202	466
303	203	465
304	203	463
305	203	461
306	203	460
307	204	458
308	204	457
309	204	455
310	205	454
311	205	452
312	205	451
313	205	449
314	206	448
315	206	446
316	206	445
317	206	443
318	207	442
319	207	440
320	207	439
321	208	438
322	208	436
323	208	435
324	208	433
325	209	432
326	209	430
327	209	429
328	209	428
329	210	426
330	210	425
331	210	424
332	211	422
333	211	421
334	211	419
335	211	418
336	212	417
337	212	415
338	212	414
339	212	413
340	213	411
341	213	410
342	213	409
343	213	408
344	214	406
345	214	405
346	214	404
347	215	403
348	215	401
349	215	400
350	215	399
351	216	397
352	216	396
353	216	395
354	216	394
355	217	392
356	217	391
357	217	390
358	217	389
359	218	388
360	218	387
361	219	386
362	219	384
363	219	384
364	220	382
365	220	381
366	220	380
367	221	379
368	221	378
369	221	377
370	221	376
371	222	374
372	222	373
373	222	372
374	222	371
375	223	370
376	223	369
377	223	368
378	223	366
379	224	365
380	224	365
381	225	364
382	225	363
383	225	362
384	226	361
385	226	359
386	226	358
387	226	357
388	227	356
389	227	355
390	227	354
391	228	353
392	228	352
393	228	351
394	228	350
395	229	349
396	229	348
397	229	347
